Select Document Type,Selecione o tipo de documento
Select Document Type or Role to start.,Selecione o tipo de documento ou função para começar.
Select Document Types to set which User Permissions are used to limit access.,Selecione Tipos de documentos para definir quais permissões de usuário serão usadas para limitar o acesso.
Select Field...,Selecione campo...
Select Fields,Selecione os campos
Select Fields (Up to {0}),Selecione campos (até {0})
Select Fields To Insert,Selecione os campos para inserir
Select Fields To Update,Selecione os campos para atualizar
Select Filters,Selecione Filtros
Select Google Calendar to which event should be synced.,Selecione o Google Calendar com o qual o evento deve ser sincronizado.
Select Google Contacts to which contact should be synced.,Selecione os Contatos do Google com os quais o contato deve ser sincronizado.
Select Group By...,Selecione Agrupar por...
Select Kanban,Selecione Kanban
Select Language,Selecione o idioma
Select List View,Selecione Visualização de lista
Select Mandatory,Selecione Obrigatório
Select Module,Selecione Módulo
Select Network Printer,Selecione impressora de rede
Select Page,Selecione a página
Select Print Format,Selecione o formato de impressão
Select Print Format to Edit,Selecione o formato de impressão para editar
Select Report,Selecione Relatório
Select Table Columns for {0},Selecione colunas da tabela para {0}
Select Time Zone,Selecione o fuso horário
Select Workflow,Selecione Fluxo de Trabalho
Select Workspace,Selecione o espaço de trabalho
Select a Brand Image first.,Selecione primeiro uma imagem de marca.
Select a DocType to make a new format,Selecione um DocType para criar um novo formato
Select a field to edit its properties.,Selecione um campo para editar suas propriedades.
Select a group {0} first.,Selecione um grupo {0} primeiro.
Select a valid Sender Field for creating documents from Email,Selecione um campo de remetente válido para criar documentos de e-mail
Select a valid Subject field for creating documents from Email,Selecione um campo Assunto válido para criar documentos de e-mail
Select an Image,Selecione uma imagem
Select an existing format to edit or start a new format.,Selecione um formato existente para editar ou iniciar um novo formato.
Select an image of approx width 150px with a transparent background for best results.,Selecione uma imagem de aproximadamente 150px de largura com fundo transparente para obter melhores resultados.
Select atleast 1 record for printing,Selecione pelo menos 1 registro para impressão
Select atleast 2 actions,Selecione pelo menos duas ações
Select list item,Selecione o item da lista
Select multiple list items,Selecione vários itens da lista
