Most probably your password is too long.,Muito provavelmente sua senha é longa demais.
Move To,Mover para
Move To Trash,Mover para a lixeira
Move current and all subsequent sections to a new tab,Mover a seção atual e todas as seções seguintes para uma nova aba
Move cursor to above row,Mover cursor para a linha acima
Move cursor to below row,Mover cursor para a linha abaixo
Move cursor to next column,Mover cursor para a próxima coluna
Move cursor to previous column,Mover cursor para a coluna anterior
Move sections to new tab,Mover seções para nova aba
Move the current field and the following fields to a new column,Mover o campo atual e os campos seguintes para uma nova coluna
Move to Row Number,Ir para o número da linha
Move to next step when clicked inside highlighted area.,Avançar para a próxima etapa ao clicar dentro da área destacada.
Mozilla doesn't support :has() so you can pass parent selector here as workaround,O Mozilla não oferece suporte a :has(); você pode informar o seletor pai aqui como contorno.
Mr,Sr.
Mrs,Sra.
Ms,Sra.
Multiple root nodes not allowed.,Não é permitido usar múltiplos nós raiz.
"Must be enclosed in '()' and include '{0}', which is a placeholder for the user/login name. i.e. (&(objectclass=user)(uid={0}))","Deve estar entre '()' e incluir '{0}', que é um placeholder para o nome de usuário/login. Ex.: (&(objectclass=user)(uid={0}))"
Must be of type "Attach Image",Deve ser do tipo "Anexar imagem"
Must have report permission to access this report.,Deve ter permissão de relatório para acessar este relatório.
Must specify a Query to run,Deve especificar uma consulta para executar
Mx,Mx
My Account,Minha conta
My Filter,Meu filtro
MyISAM,MyISAM
NEVER,NUNCA
"NOTE: If you add states or transitions in the table, it will be reflected in the Workflow Builder but you will have to position them manually. Also Workflow Builder is currently in <b>BETA</b>.","NOTA: Se você adicionar estados ou transições na tabela, isso será refletido no Construtor de Fluxo de Trabalho, mas você terá que posicioná-los manualmente. Além disso, o Construtor de Fluxo de Trabalho está atualmente em <b>BETA</b>."
NOTE: This box is due for depreciation. Please re-setup LDAP to work with the newer settings,NOTA: Este campo será descontinuado. Reconfigure o LDAP para funcionar com as configurações mais recentes.
Name (Doc Name),Nome (Nome do documento)
"Name already taken, please set a new name",Nome já em uso; defina um novo nome
Name cannot contain special characters like {0},O nome não pode conter caracteres especiais como {0}
"Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer",Nome do Tipo de Documento (DocType) ao qual você deseja vincular este campo. Ex.: Cliente
Name of the new Print Format,Nome do novo formato de impressão
Name of {0} cannot be {1},O nome de {0} não pode ser {1}
Names and surnames by themselves are easy to guess.,Nomes e sobrenomes sozinhos são fáceis de adivinhar.
"Naming Options:|||<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present)</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>|||<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Opções de nomenclatura:|||<ol><li><b>field:[fieldname]</b> - Por campo</li><li><b>naming_series:</b> - Por série de nomenclatura (o campo naming_series deve estar presente)</li><li><b>Prompt</b> - Solicitar ao usuário um nome</li><li><b>[series]</b> - Série por prefixo (separada por ponto); por exemplo PRE.#####</li>|||<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Substitui todas as palavras entre chaves (nomes de campos, palavras de data (DD, MM, YY), série) por seus valores. Fora das chaves, qualquer caractere pode ser usado.</li></ol>"
Naming Rule,Regra de nomenclatura
Naming Series,Série de nomenclatura
Naming Series mandatory,Série de nomenclatura obrigatória
Navbar,Barra de navegação
Navbar Item,Item da barra de navegação
Navbar Settings,Configurações da barra de navegação
Navbar Template,Modelo da barra de navegação
Navbar Template Values,Valores do modelo da barra de navegação
Navigate list down,Navegar para baixo na lista
Navigate list up,Navegar para cima na lista
Navigate to main content,Ir para o conteúdo principal
Need Help?,Precisa de ajuda?
Need Workspace Manager role to edit private workspace of other users,É necessário ter o perfil Gerenciador de Área de Trabalho para editar a área de trabalho privada de outros usuários
Negative Value,Valor negativo
Nested filters must be provided as a list or tuple.,Filtros aninhados devem ser fornecidos como lista ou tupla.
Nested set error. Please contact the Administrator.,Erro de conjunto aninhado. Entre em contato com o Administrador.
Network Printer Settings,Configurações da impressora de rede
Never,Nunca
New Activity,Nova atividade
New Address,Novo endereço
New Chart,Novo gráfico
New Contact,Novo contato
New Custom Block,Novo bloco personalizado
New Custom Print Format,Novo formato de impressão personalizado
New Document Form,Novo formulário de documento
New Document Shared {0},Novo documento compartilhado {0}
New Email Account,Nova conta de e-mail
New Event,Novo evento
New Folder,Nova pasta
New Kanban Board,Novo quadro Kanban
New Links,Novos links
New Mention on {0},Nova menção em {0}
New Message from Website Contact Page,Nova mensagem da página de contato do site
New Notification,Nova notificação
New Number Card,Novo cartão numérico
New Onboarding,Novo processo de integração
New Print Format Name,Novo nome do formato de impressão
New Quick List,Nova lista rápida
New Report name,Novo nome do relatório
New Role,Novo perfil
New Shortcut,Novo atalho
New Workflow Name,Novo nome do fluxo de trabalho
New Workspace,Nova área de trabalho
"New line separated list of allowed public client URLs (eg <code>https://frappe.io</code>), or <code>*</code> to accept all.|||<br>|||Public clients are restricted by default.","Nova lista de URLs de clientes públicos permitidas separadas por linha (ex.: <code>https://frappe.io</code>) ou <code>*</code> para aceitar todas.|||<br>|||Clientes públicos são restritos por padrão."
New line separated list of scope values.,Nova lista de valores de escopo separada por linha.
"New lines separated list of strings representing ways to contact people responsible for this client, typically email addresses.","Nova lista de textos separada por linhas representando formas de contato com os responsáveis por este cliente, normalmente endereços de e-mail."
New password cannot be same as old password,A nova senha não pode ser igual a senha antiga
New updates are available,Novas atualizações estão disponíveis
New users will have to be manually registered by system managers.,Novos usuários terão que ser registrados manualmente pelos gestores do sistema.
New {0} Created,Novo(a) {0} criado(a)
New {0} {1} added to Dashboard {2},Novo(a) {0} {1} adicionado(a) ao Painel {2}
New {0} {1} created,Novo(a) {0} {1} criado(a)
New {0}: {1},Novo(a) {0}: {1}
New {} releases for the following apps are available,Novas versões {} para os seguintes aplicativos estão disponíveis
Newly created user {0} has no roles enabled.,O usuário {0} recém-criado não tem perfis habilitados.
Newsletter Manager,Gerenciador de boletins
Next,Próximo
Next 14 Days,Próximos 14 dias
Next 30 Days,Próximos 30 dias
Next 7 Days,Próximos 7 dias
Next Action Email Template,Modelo de e-mail da próxima ação
Next Actions,Próximas ações
Next Actions HTML,HTML das próximas ações
Next Execution,Próxima execução
Next Form Tour,Próximo tour do formulário
Next Scheduled Date,Próxima data agendada
Next State,Próximo estado
Next Step Condition,Condição da próxima etapa
Next Sync Token,Próximo token de sincronização
Next actions,Próximas ações
Next on Click,Próximo ao clicar
No Active Sessions,Nenhuma sessão ativa
No Data,Nenhum dado
No Data...,Sem dados...
No Email Account,Nenhuma conta de e-mail
No Email Accounts Assigned,Nenhuma conta de e-mail atribuída
No Email field found in {0},Nenhum campo de e-mail encontrado em {0}
No Emails,Nenhum e-mail
No Entry for the User {0} found within LDAP!,Nenhuma entrada para o usuário {0} encontrada no LDAP!
No Filters Set,Nenhum filtro definido
No Google Calendar Event to sync.,Nenhum evento do Google Agenda para sincronizar.
No IMAP folders were found on the server. Please verify the email account settings and ensure the mailbox contains folders.,Nenhuma pasta IMAP foi encontrada no servidor. Verifique as configurações da conta de e-mail e confirme que a caixa postal contém pastas.
No LDAP User found for email: {0},Nenhum usuário LDAP encontrado para o e-mail: {0}
No Label,Sem rótulo
No Letterhead,Nenhum cabeçalho
No Name Specified for {0},Nenhum nome informado para {0}
No Permissions Specified,Nenhuma permissão especificada
No Permissions set for this criteria.,Nenhuma permissão definida para este critério.
No Permitted Charts,Nenhum gráfico permitido
No Permitted Charts on this Dashboard,Nenhum gráfico permitido neste painel
No Preview,Sem visualização
No Preview Available,Visualização indisponível
No Printer is Available.,Nenhuma impressora está disponível.
No RQ Workers connected. Try restarting the bench.,Nenhum worker RQ conectado. Tente reiniciar o bench.
No Results,Sem resultados
No Results found,Nenhum resultado encontrado
No Roles Specified,Nenhum perfil especificado
No Select Field Found,Nenhum campo Select encontrado
No Suggestions,Nenhuma sugestão
No Tags,Nenhuma tag
No address added yet.,Nenhum endereço adicionado ainda.
No alerts for today,Nenhum alerta para hoje
No automatic optimization suggestions available.,Nenhuma sugestão automática de otimização disponível.
No changes in document,Nenhuma alteração no documento
No changes made,Nenhuma alteração feita
No changes made because old and new name are the same.,Nenhuma alteração foi feita porque o nome antigo e o novo são iguais.
No changes to sync,Nenhuma alteração para sincronizar
No changes to update,Nenhuma alteração para atualizar
No contacts added yet.,Nenhum contato adicionado ainda.
No contacts linked to document,Nenhum contato vinculado ao documento
No currency fields in {0},Nenhum campo de moeda em {0}
No data to export,Nenhum dado para exportar
No default Address Template found. Please create a new one from Setup > Printing and Branding > Address Template.,Nenhum modelo de endereço padrão encontrado. Crie um novo em Configuração > Impressão e Identidade Visual > Modelo de Endereço.
No documents found tagged with {0},Nenhum documento encontrado com a tag {0}
No email account associated with the User. Please add an account under User > Email Inbox.,Nenhuma conta de e-mail associada ao Usuário. Adicione uma conta em Usuário > Caixa de Entrada de E-mail.
No email addresses to invite,Nenhum endereço de e-mail para convidar
No failed logs,Nenhum log com falha
No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type "Select".,Nenhum campo encontrado que possa ser usado como coluna do Kanban. Use o Personalizar Formulário para adicionar um Campo Personalizado do tipo "Select".
No file attached,Nenhum arquivo anexado
No filters found,Nenhum filtro encontrado
No filters selected,Nenhum filtro selecionado
No matching entries in the current results,Nenhuma entrada correspondente nos resultados atuais
No matching records. Search something new,Nenhum registro correspondente. Pesquise algo novo
No more items to display,Não há mais itens para exibir
"No need for symbols, digits, or uppercase letters.","Não há necessidade de símbolos, dígitos ou letras maiúsculas."
No new Google Contacts synced.,Nenhum novo contato do Google sincronizado.
No of Columns,Nº de colunas
No of Requested SMS,Nº de SMS solicitados
No of Rows (Max 500),Nº de linhas (máx. 500)
No of Sent SMS,Nº de SMS enviados
No permission for {0},Sem permissão para {0}
No permission to '{0}' {1},Sem permissão para '{0}' {1}
No permission to read {0},Sem permissão para ler {0}
No permission to {0} {1} {2},Sem permissão para {0} {1} {2}
No records deleted,Nenhum registro excluído
No records present in {0},Nenhum registro presente em {0}
No records tagged.,Nenhum registro com tag.
No records will be exported,Nenhum registro será exportado
No rows selected,Nenhuma linha selecionada
No subject,Sem assunto
No template found at path: {0},Nenhum modelo encontrado no caminho: {0}
No user has the role <strong>{0}</strong>,Nenhum usuário possui o perfil <strong>{0}</strong>
No values to show,Nenhum valor para mostrar
No {0},Sem {0}
No {0} found,Nenhum {0} encontrado
No {0} mail,Nenhum e-mail de {0}
No.,Nº.
Nomatim,Nomatim
None: End of Workflow,Nenhum: fim do fluxo de trabalho
Normalized Copies,Cópias normalizadas
Normalized Query,Consulta normalizada
Not Allowed,Não permitido
Not Allowed: Disabled User,Não permitido: usuário desativado
Not Ancestors Of,Não ancestrais de
Not Descendants Of,Não descendentes de
Not Found,Não encontrado
Not Helpful,Não útil
Not Linked to any record,Não vinculado a nenhum registro
Not Nullable,Não permite nulo
Not Permitted,Não permitido
Not Permitted to read {0},Não permitido ler {0}
Not Published,Não publicado
Not Seen,Não visto
Not Sent,Não enviado
Not Set,Não definido
Not a valid Comma Separated Value (CSV File),Não é um arquivo CSV válido (valores separados por vírgula)
Not a valid User Image.,Não é uma imagem de usuário válida.
Not a valid Workflow Action,Não é uma ação de fluxo de trabalho válida
Not a valid user,Não é um usuário válido
Not active,Não ativo
Not allowed for {0}: {1},Não permitido para {0}: {1}
"Not allowed to attach {0} document, please enable Allow Print For {0} in Print Settings","Não é permitido anexar o documento {0}; habilite Permitir Impressão para {0} nas Configurações de Impressão"
Not allowed to create custom Virtual DocType.,Não é permitido criar DocType Virtual personalizado.
Not allowed to print cancelled documents,Não é permitido imprimir documentos cancelados
Not allowed to print draft documents,Não é permitido imprimir documentos em rascunho
Not allowed via controller permission check,Não permitido pela verificação de permissão do controlador
Not found,Não encontrado
Not in Developer Mode,Não está no Modo de Desenvolvedor
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Não está no Modo de Desenvolvedor! Defina em site_config.json ou torne o DocType "Custom".
Not permitted,Não permitido
Not permitted to view {0},Não permitido visualizar {0}
Not permitted. {0}.,Não permitido. {0}.
Note,Nota
Note Seen By,Nota vista por
Note:,Nota:
Note: Changing the Page Name will break previous URL to this page.,Nota: Alterar o Nome da Página quebrará a URL anterior desta página.
Note: Etc timezones have their signs reversed.,Nota: Fusos horários Etc têm os sinais invertidos.
Note: Your request for account deletion will be fulfilled within {0} hours.,Nota: Sua solicitação de exclusão de conta será atendida em até {0} horas.
Notes:,Notas:
Nothing left to redo,Nada a refazer
Nothing left to undo,Nada a desfazer
Nothing to show,Nada para mostrar
Nothing to update,Nada para atualizar
Notification Log,Log de notificações
Notification Recipient,Destinatário da notificação
Notification Subscribed Document,Documento inscrito para notificação
Notification sent to,Notificação enviada para
Notification: customer {0} has no Mobile number set,Notificação: o cliente {0} não tem número de celular definido
Notification: document {0} has no {1} number set (field: {2}),Notificação: o documento {0} não tem número de {1} definido (campo: {2})
Notification: user {0} has no Mobile number set,Notificação: o usuário {0} não tem número de celular definido
Notifications Disabled,Notificações desativadas
Notify Users On Every Login,Notificar usuários em cada login
Notify by Email,Notificar por e-mail
Notify by email,Notificar por e-mail
Notify users with a popup when they log in,Notificar usuários com um popup quando fizerem login
Now,Agora
Number Card,Cartão numérico
Number Card Link,Vínculo do cartão numérico
Number Card Name,Nome do cartão numérico
Number Cards,Cartões numéricos
Number of Queries,Número de consultas
Number of attachment fields are more than {}, limit updated to {}.,O número de campos de anexo é maior que {}; limite atualizado para {}.
Number of backups must be greater than zero.,O número de backups deve ser maior que zero.
Number of columns for a field in a Grid (Total Columns in a grid should be less than 11),Número de colunas para um campo em um Grid (o total de colunas em um grid deve ser menor que 11)
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Número de colunas para um campo em uma Visualização de Lista ou em um Grid (o total de colunas deve ser menor que 11)
Number of days after which the document Web View link shared on email will be expired,Número de dias após os quais o link de Visualização Web do documento compartilhado por e-mail expirará
OAuth,OAuth
OAuth Authorization Code,Código de autorização OAuth
OAuth Bearer Token,Token Bearer OAuth
OAuth Client ID,ID do cliente OAuth
OAuth Client Role,Perfil do cliente OAuth
OAuth Error,Erro de OAuth
OAuth Provider Settings,Configurações do provedor OAuth
OAuth Scope,Escopo OAuth
OAuth Settings,Configurações de OAuth
OAuth has been enabled but not authorised. Please use "Authorise API Access" button to do the same.,OAuth foi habilitado, mas não autorizado. Use o botão "Autorizar acesso à API" para isso.
OPTIONS,OPTIONS
OR,OU
OTP SMS Template,Modelo de SMS OTP
OTP SMS Template must contain <code>{0}</code> placeholder to insert the OTP.,O modelo de SMS OTP deve conter o placeholder <code>{0}</code> para inserir o OTP.
OTP Secret Reset - {0},Segredo OTP redefinido - {0}
OTP Secret has been reset. Re-registration will be required on next login.,O segredo OTP foi redefinido. Será necessário registrar novamente no próximo login.
OTP placeholder should be defined as <code>{{ otp }}</code> ,O placeholder OTP deve ser definido como <code>{{ otp }}</code>
OTP setup using OTP App was not completed. Please contact Administrator.,A configuração de OTP usando o aplicativo OTP não foi concluída. Entre em contato com o Administrador.
